f1,f3,f5,f7,f8,f9,f10,f11,f12,f13,f14,f15,f18,f19,f21,f23,f25,f29,f31,f33,class
1.0,0.9355549999999999,0.8997299999999999,0.9950450000000001,0.64646,0.9021666666666666,0.458315,0.94299,0.48986,0.9522299999999999,0.36638000000000004,0.94705,0.47678999999999994,0.92226,0.98941,0.8947700000000001,0.9333049999999999,0.8938699999999999,0.879675,0.94119,0
1.0,1.0,0.0,0.0,0.0,0.9523809523809524,0.65873,0.906745,0.88095,0.0,0.0,0.0,1.0,1.0,0.844195,0.0,0.9146850000000001,1.0,0.0,0.0,1
1.0,0.96986,0.90243,0.7908350000000001,0.8657549999999999,0.6426714285714286,0.9025549999999999,0.5539850000000001,0.952015,0.399925,0.946675,0.30135,0.814335,0.118475,0.09369,0.09341500000000004,0.123635,0.26789,0.368055,0.45531499999999997,0
1.0,0.944265,0.9600350000000001,0.96221,0.506795,0.9008523809523811,0.44888500000000003,0.950515,0.45786000000000004,0.9652,0.494835,0.96547,0.47471499999999994,0.947255,0.94209,0.944535,0.9149,0.92768,0.9176200000000001,0.9339299999999999,0
1.0,0.71,0.5,1.0,0.0,0.9047619047619048,1.0,0.715,0.8200000000000001,0.5,0.5,0.5,0.355,0.92,0.5,0.5,0.605,0.5,0.5,0.5,1
0.0,1.0,1.0,1.0,1.0,0.9523809523809524,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,0.965175,0.44566000000000006,0.03201499999999996,0.9523809523809524,0.47725500000000004,0.75437,0.16128499999999998,0.6721600000000001,0.15146500000000002,0.241575,0.188815,0.6655449999999999,0.434245,0.40972,0.39834,0.4048,0.41686999999999996,0.43131,1
0.0,0.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.5,1
1.0,1.0,0.5,0.5,0.5,0.4761904761904762,0.5,0.7387199999999999,0.054510000000000065,0.24248000000000006,0.727445,0.02255499999999999,1.0,0.5,0.5,0.8101499999999999,0.0,1.0,0.5,0.5,1
1.0,1.0,1.0,1.0,0.0,0.9523809523809524,0.6810849999999999,1.0,0.29440500000000003,1.0,1.0,1.0,0.35323000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1.0,1.0,1.0,1.0,0.506865,0.9523809523809524,0.43823999999999996,1.0,0.49244499999999997,1.0,0.491345,1.0,0.464215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1.0,0.94058,0.860625,0.8077949999999999,0.81831,0.6610714285714285,0.9525100000000001,0.5491550000000001,0.98064,0.399515,0.946,0.321315,0.81105,0.10615999999999998,0.09071999999999997,0.08028500000000005,0.10833000000000004,0.22634,0.34744,0.40344,0
1.0,0.68438,0.0,0.46169499999999997,1.0,0.9523809523809524,0.975205,0.872985,0.30645,0.0,0.10343499999999999,0.451615,0.73251,0.658775,0.428285,0.44011999999999996,0.515105,0.497985,0.496195,0.500075,1
1.0,0.9250649999999999,0.9610549999999999,0.9602299999999999,0.5109,0.9179285714285714,0.54005,0.937985,0.55685,0.9558049999999999,0.5216,0.95369,0.5142100000000001,0.9793299999999999,0.945485,0.94215,0.9186049999999999,0.937985,0.92599,0.92129,0
1.0,1.0,0.996815,0.9807100000000001,0.5737800000000001,0.9310142857142856,0.36751999999999996,0.8301299999999999,0.773505,0.90213,0.6264149999999999,0.8689049999999999,0.64357,0.798075,0.76247,0.7279100000000001,0.6951149999999999,0.636905,0.612135,0.59043,0
1.0,1.0,1.0,0.99195,0.66522,0.8588809523809523,0.7651,0.8748849999999999,0.801485,0.7846850000000001,0.8597100000000001,0.776555,0.9109649999999999,0.605685,0.548545,0.49133000000000004,0.42428,0.341435,0.298545,0.285925,0
1.0,0.74935,0.715585,0.7532449999999999,0.47922,0.7149047619047618,0.54805,0.723375,0.52987,0.77922,0.44026000000000004,0.75844,0.47013,0.776625,0.742855,0.745455,0.7961050000000001,0.715585,0.772725,0.794805,0
1.0,0.976085,0.9680700000000001,0.95498,0.5957600000000001,0.8803857142857143,0.25019,0.9501149999999999,0.8066,0.8896850000000001,0.67164,0.8612700000000001,0.7042200000000001,0.97736,0.7662899999999999,0.733865,0.7021999999999999,0.95165,0.617025,0.59316,0
1.0,0.9909100000000001,0.943135,0.9312450000000001,0.52286,0.8571428571428571,0.5,0.8454550000000001,0.522725,0.8967149999999999,0.54218,0.88559,0.627275,0.84091,0.8533700000000001,0.8430200000000001,0.872725,0.8363649999999999,0.8035749999999999,0.7942,0
1.0,0.81908,0.6041650000000001,1.0,1.0,0.8938999999999999,0.654605,0.16557,1.0,0.470395,0.79386,0.50877,0.0,0.57127,0.663375,0.0,0.9046049999999999,1.0,0.60307,1.0,1
1.0,1.0,1.0,1.0,1.0,0.9523809523809524,0.25,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.125,1.0,1
1.0,1.0,1.0,0.85608,0.0,0.4761904761904762,0.5,0.5,0.5,0.5,0.5,0.0,0.30335,0.0,0.150125,0.5,1.0,1.0,0.62841,0.33809,1
1.0,1.0,0.5,0.889705,0.0036749999999999843,0.8613428571428571,0.7757350000000001,0.29044000000000003,0.025735000000000063,0.5,0.5,0.5,0.11396999999999995,0.8676450000000001,0.5,0.59191,0.0,1.0,1.0,0.5,1
1.0,0.917135,0.7702,0.5616300000000001,0.94701,0.3179952380952381,0.91789,0.14956999999999998,0.79782,0.06688999999999995,0.609545,0.07778999999999997,0.19053000000000006,0.40323000000000003,0.562195,0.7555449999999999,0.8957149999999999,0.8329599999999999,0.68771,0.48008500000000004,0
