f1,f3,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f19,f21,f23,f25,f29,f31,f33,class
1.0,0.747575,0.64806,0.529125,0.674755,0.5,0.7489619047619047,0.487865,0.79126,0.512135,0.667475,0.52427,0.762135,0.71602,0.674755,0.59466,0.65534,0.6966,0.63107,0.686895,0
1.0,0.9735050000000001,0.966035,0.483865,0.9758850000000001,0.482845,0.9313523809523809,0.51223,0.97062,0.50883,0.962975,0.52344,0.96977,0.96892,0.95703,0.94735,0.96994,0.9606,0.9622949999999999,0.963485,0
1.0,0.925065,0.961055,0.50728,0.96023,0.5109,0.9179285714285714,0.54005,0.9379850000000001,0.55685,0.955805,0.5216,0.9536899999999999,0.97933,0.945485,0.94215,0.918605,0.9379850000000001,0.92599,0.9212899999999999,0
1.0,0.9982249999999999,1.0,0.49382,0.989055,0.51249,0.9338666666666666,0.51156,0.99637,0.53904,0.946615,0.55173,0.97106,0.93052,0.908165,0.9183399999999999,0.9066449999999999,0.8955500000000001,0.88561,0.854705,0
1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.5,1
1.0,0.9804350000000001,0.9838,0.596395,0.98013,0.637255,0.9430666666666666,0.67526,0.964335,0.7314050000000001,0.931325,0.7625850000000001,0.9141,0.8450150000000001,0.772365,0.741695,0.703075,0.62472,0.56878,0.54524,0
1.0,0.7947,0.9271499999999999,0.77649,0.9056299999999999,0.536425,0.7458238095238094,0.581125,0.663905,0.62086,0.751655,0.56126,0.819535,0.771525,0.82616,0.8443700000000001,0.75936,0.73108,0.71742,0.704105,0
1.0,1.0,0.0,1.0,0.0,0.08771999999999996,0.6411857142857142,0.605265,0.7302649999999999,0.53509,0.614035,0.52851,0.67544,0.614035,0.5,0.350875,1.0,1.0,0.67544,0.9144749999999999,1
1.0,0.645365,0.61654,0.586465,0.518795,0.67168,0.5334761904761904,0.63158,0.53133,0.606515,0.476375,0.563835,0.468335,0.472845,0.47917,0.48562,0.491225,0.4986,0.50048,0.50145,0
1.0,0.810605,0.5,0.5,0.5,0.5,0.6403333333333333,0.64394,0.7140150000000001,0.69697,0.46212,0.75947,0.68182,0.560605,0.50947,0.21211999999999998,0.6458349999999999,0.71591,0.59091,0.585225,1
1.0,0.80339,0.835595,0.52034,0.764405,0.477965,0.7167047619047618,0.518645,0.8525400000000001,0.461015,0.78983,0.48983,0.7661,0.784745,0.7661,0.8576250000000001,0.764405,0.79322,0.794915,0.750845,0
0.0,1.0,0.5,0.5,0.5,0.5,0.9523809523809523,1.0,1.0,0.0,0.140625,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1
1.0,0.949175,0.836665,0.811165,0.71949,0.971765,0.4588428571428571,0.90255,0.38581,0.8766700000000001,0.374315,0.7440800000000001,0.213115,0.263205,0.09471999999999997,0.334015,0.435515,0.621605,0.68293,0.714025,0
1.0,0.92067,0.71822,0.514595,0.967105,0.498665,0.8949857142857143,0.568975,0.905605,0.491055,0.942795,0.7749550000000001,0.9585699999999999,0.9333800000000001,1.0,0.73305,0.95033,0.80791,0.922315,0.966615,0
1.0,0.0,0.5,0.5,0.0,0.8225800000000001,0.06144285714285713,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.649195,0.5,0.5,0.5,1
1.0,0.923565,0.9320600000000001,0.457535,0.9097649999999999,0.5,0.8270142857142857,0.461785,0.859875,0.43206,0.874735,0.441615,0.887475,0.80998,0.895965,0.94692,0.9246300000000001,0.83121,0.863055,0.8290850000000001,0
1.0,0.934445,1.0,0.48753,1.0,0.465555,0.8941809523809523,0.5011099999999999,0.91778,0.46778,1.0,0.463565,1.0,0.94,1.0,1.0,0.92222,0.9111100000000001,1.0,1.0,0
0.0,0.0,1.0,0.0,0.5,0.5,0.47619047619047616,0.5,1.0,0.0,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1
1.0,1.0,1.0,0.463085,0.998005,0.444805,0.9516095238095237,0.450345,0.994705,0.43093,0.98337,0.391525,0.97644,0.952905,0.949955,0.93937,0.931065,0.907165,0.8895949999999999,0.875575,0
1.0,0.883135,0.8196749999999999,0.69056,0.742045,0.7625,0.5476190476190476,0.611365,0.568765,0.797825,0.461365,0.7227250000000001,0.5,0.21931999999999996,0.317045,0.297335,0.307585,0.3623,0.40019,0.44053,0
1.0,0.87352,0.768775,0.58498,0.8636349999999999,0.54743,0.8074523809523809,0.444665,0.83399,0.38240999999999997,0.9397249999999999,0.40415,0.868575,0.81818,0.896245,0.832015,0.83597,0.800395,0.687745,0.8053349999999999,0
1.0,1.0,1.0,0.586935,1.0,0.43346,0.9436761904761904,0.8226,1.0,0.73952,1.0,0.7955650000000001,1.0,1.0,1.0,0.99021,0.95812,0.8741099999999999,0.82179,0.7623949999999999,0
